Entity,Code,"Fertility rate (Select Gapminder, v12) (2017)"
Afghanistan,AFG,3.77
Albania,ALB,1.7
Algeria,DZA,2.46
Angola,AGO,5.28
Antigua and Barbuda,ATG,1.99
Argentina,ARG,2.2
Armenia,ARM,1.58
Aruba,ABW,1.79
Australia,AUS,1.8
Austria,AUT,1.56
Azerbaijan,AZE,1.99
Bahamas,BHS,1.72
Bahrain,BHR,1.9
Bangladesh,BGD,1.95
Barbados,BRB,1.81
Belarus,BLR,1.75
Belgium,BEL,1.81
Belize,BLZ,2.33
Benin,BEN,4.57
Bhutan,BTN,1.88
Bolivia,BOL,2.66
Bosnia and Herzegovina,BIH,1.44
Botswana,BWA,2.49
Brazil,BRA,1.65
Brunei,BRN,1.81
Bulgaria,BGR,1.64
Burkina Faso,BFA,4.87
Burundi,BDI,5.22
Cambodia,KHM,2.39
Cameroon,CMR,4.32
Canada,CAN,1.56
Cape Verde,CPV,2.15
Central African Republic,CAF,4.43
Chad,TCD,5.36
Channel Islands,OWID_CIS,1.51
Chile,CHL,1.74
China,CHN,1.66
Colombia,COL,1.75
Comoros,COM,3.95
Congo,COG,4.31
Costa Rica,CRI,1.71
Cote d'Ivoire,CIV,4.54
Croatia,HRV,1.45
Cuba,CUB,1.73
Cyprus,CYP,1.34
Czechia,CZE,1.63
Democratic Republic of Congo,COD,5.52
Denmark,DNK,1.78
Djibouti,DJI,2.53
Dominican Republic,DOM,2.26
Ecuador,ECU,2.33
Egypt,EGY,2.98
El Salvador,SLV,1.96
Equatorial Guinea,GNQ,4.18
Eritrea,ERI,3.73
Estonia,EST,1.7
Eswatini,SWZ,2.81
Ethiopia,ETH,3.56
Fiji,FJI,2.38
Finland,FIN,1.79
France,FRA,1.97
French Guiana,GUF,3.11
French Polynesia,PYF,1.92
Gabon,GAB,3.43
Gambia,GMB,4.99
Georgia,GEO,1.95
Germany,DEU,1.5
Ghana,GHA,3.66
Greece,GRC,1.31
Grenada,GRD,1.99
Guadeloupe,GLP,1.87
Guam,GUM,2.24
Guatemala,GTM,2.69
Guinea,GIN,4.41
Guinea-Bissau,GNB,4.2
Guyana,GUY,2.37
Haiti,HTI,2.65
Honduras,HND,2.26
Hong Kong,HKG,1.42
Hungary,HUN,1.45
Iceland,ISL,1.88
India,IND,2.2
Indonesia,IDN,2.22
Iran,IRN,1.54
Iraq,IRQ,4.04
Ireland,IRL,1.97
Israel,ISR,2.82
Italy,ITA,1.54
Jamaica,JAM,1.92
Japan,JPN,1.53
Jordan,JOR,3.02
Kazakhstan,KAZ,2.47
Kenya,KEN,3.52
Kiribati,KIR,3.42
Kuwait,KWT,1.92
Kyrgyzstan,KGZ,2.76
Laos,LAO,2.41
Latvia,LVA,1.62
Lebanon,LBN,1.7
Lesotho,LSO,2.83
Liberia,LBR,4.19
Libya,LBY,2.07
Lithuania,LTU,1.71
Luxembourg,LUX,1.63
Macao,MAC,1.46
Madagascar,MDG,3.87
Malawi,MWI,4.18
Malaysia,MYS,1.94
Maldives,MDV,1.88
Mali,MLI,5.51
Malta,MLT,1.52
Martinique,MTQ,1.84
Mauritania,MRT,4.32
Mauritius,MUS,1.43
Mayotte,MYT,3.45
Mexico,MEX,2.02
Micronesia,,2.89
Moldova,MDA,1.24
Mongolia,MNG,2.53
Montenegro,MNE,1.64
Morocco,MAR,2.3
Mozambique,MOZ,4.86
Myanmar,MMR,2.09
Namibia,NAM,3.1
Nepal,NPL,1.94
Netherlands,NLD,1.76
Netherlands Antilles,ANT,1.81
New Caledonia,NCL,2.06
New Zealand,NZL,1.93
Nicaragua,NIC,2.04
Niger,NER,6.86
Nigeria,NGA,5.11
North Korea,PRK,1.86
North Macedonia,MKD,1.58
Norway,NOR,1.83
Oman,OMN,2.3
Pakistan,PAK,3.12
Panama,PAN,2.37
Papua New Guinea,PNG,3.39
Paraguay,PRY,2.33
Peru,PER,2.24
Philippines,PHL,2.75
Poland,POL,1.29
Portugal,PRT,1.25
Puerto Rico,PRI,1.45
Qatar,QAT,1.79
Reunion,REU,2.17
Romania,ROU,1.58
Russia,RUS,1.79
Rwanda,RWA,3.47
Saint Lucia,LCA,1.41
Saint Vincent and the Grenadines,VCT,1.82
Samoa,WSM,3.69
Sao Tome and Principe,STP,4.1
Saudi Arabia,SAU,2.31
Senegal,SEN,4.36
Serbia,SRB,1.64
Seychelles,SYC,2.16
Sierra Leone,SLE,3.9
Singapore,SGP,1.28
Slovak Republic,,1.52
Slovenia,SVN,1.68
Solomon Islands,SLB,3.54
Somalia,SOM,5.71
South Africa,ZAF,2.31
South Korea,KOR,1.39
South Sudan,SSD,4.39
Spain,ESP,1.44
Sri Lanka,LKA,1.97
Sudan,SDN,4.17
Suriname,SUR,2.24
Sweden,SWE,1.91
Switzerland,CHE,1.57
Syria,SYR,2.65
Taiwan,TWN,1.28
Tajikistan,TJK,3.11
Tanzania,TZA,4.65
Thailand,THA,1.42
Timor-Leste,,4.86
Togo,TGO,4.08
Tonga,TON,3.41
Trinidad and Tobago,TTO,1.69
Tunisia,TUN,2.07
Turkey,TUR,1.95
Turkmenistan,TKM,2.63
Uganda,UGA,5.06
Ukraine,UKR,1.61
United Arab Emirates,ARE,1.66
United Kingdom,GBR,1.87
United States,USA,1.89
United States Virgin Islands,VIR,2.1
Uruguay,URY,1.94
Uzbekistan,UZB,2.14
Vanuatu,VUT,3.07
Venezuela,VEN,2.18
Vietnam,VNM,1.93
Western Sahara,ESH,2.28
World,OWID_WRL,2.39
Yemen,YEM,3.44
Zambia,ZMB,4.65
Zimbabwe,ZWE,3.35
